analysis	cohort	sample	signal	width	jsd	tv	hellinger	oops_ap	zoops_ap	oops_conf	zoops_conf	zoops_fraction	oops_resampling	zoops_resampling
ctcf_initial	mcf7-encsr000ahd	1	0.0	19	0.32974565221619473			0.07027346135616362	0.07415308437351184	5.0480675268140445	6.404148184640183	0.143	0.00776520593986587	0.5534363835717586
ctcf_initial	mcf7-encsr000ahd	1	10.0	19	0.38441434960967547			0.07148995123775755	0.0737348009283972	4.110195065232278	6.262099817619781	0.127	0.1077292790755483	0.549579665892308
ctcf_initial	mcf7-encsr000ahd	1	25.0	19	0.3785014227272586			0.07293749933696443	0.07250392641733559	0.0	6.032090586395134	0.108	0.10623682202522367	0.009960554624992547
ctcf_initial	mcf7-encsr000ahd	1	50.0	19	0.01224488204273414			0.5027752481927519	0.6403729615049744	4.844291240607066	5.607950589844922	0.395	0.23498647258475644	0.4413856383662584
ctcf_initial	mcf7-encsr000ahd	1	75.0	19	0.21188724430413003			0.6869770434024935	0.7492929982533938	6.535573796255639	6.764456165712355	0.679	0.18627756010922675	0.004461964919805891
ctcf_initial	mcf7-encsr000ahd	1	100.0	19	0.2235259149360953			0.7381369413000611	0.7566514402031623	7.19440577502802	7.2252956676721745	0.981	0.22499935119247605	0.0032929493126567125
ctcf_initial	mcf7-encsr000ahd	2	0.0	19	0.28638658368327974			0.07241364093722182	0.07325247711214601	5.214316308440465	6.5333835907141165	0.17	0.10596765990369857	0.4991710663632612
ctcf_initial	mcf7-encsr000ahd	2	10.0	19	0.2910775071536987			0.07245574837646028	0.07276992548406877	4.696551167829312	6.403725701327002	0.15	0.10700228679566859	0.5074597679578465
ctcf_initial	mcf7-encsr000ahd	2	25.0	19	0.37255725474736623			0.0721177807528511	0.07302190475128051	3.8501476017100584	6.179487999436234	0.128	0.007572119073858409	0.5056373552794406
ctcf_initial	mcf7-encsr000ahd	2	50.0	19	0.3626063492992372			0.0748374920548232	0.07326827401047492	0.0	5.8176480874122705	0.09	0.008582059518759677	0.5576712871038468
ctcf_initial	mcf7-encsr000ahd	2	75.0	19	0.1699741615624552			0.7182208920097503	0.7554952827508236	6.46878349467971	6.719942132266902	0.707	0.2261267592338253	0.0037621609735180553
ctcf_initial	mcf7-encsr000ahd	2	100.0	19	0.19135412133159452			0.7662263937444376	0.7624031877780435	7.189209637412623	7.205907248930854	0.981	0.10179226408502325	0.10259313085727122
ctcf_initial	mcf7-encsr000ahd	3	0.0	19	0.10016282030537592			0.0699364879109187	0.0706670967201403	5.66135364125772	6.566561057573388	0.18	0.10909834015172097	0.10739475583794253
ctcf_initial	mcf7-encsr000ahd	3	10.0	19	0.1907883574737835			0.07073567189744837	0.07072918230690133	5.423721273453049	6.4434713039270894	0.163	0.00914518391838332	0.10801412317340589
ctcf_initial	mcf7-encsr000ahd	3	25.0	19	0.2034582895788919			0.07143781039149513	0.07161346441850178	4.712011122455664	6.272032956036976	0.136	0.011169863268106622	0.10847999199834009
ctcf_initial	mcf7-encsr000ahd	3	50.0	19	0.21727179855138515			0.07272776631285041	0.07222992103179725	0.0	5.8111409929767	0.099	0.014150915366196618	0.5003571336303293
ctcf_initial	mcf7-encsr000ahd	3	75.0	19	0.005838872005320986			0.7012842116693272	0.7471526340922268	6.479248978755319	6.722896725230718	0.745	0.0036905040734166203	0.004610336004000066
